Feature,Definition,CURIE,OMOP,A4,ABVIB,ADNI,AIBL,ANM,ARWIBO,BRACE,C-Surv,DOD-ADNI,EDSD,EMIF,EPAD,I-ADNI,JADNI,NACC,NEURO Cohort,OASIS,PREVENT-AD,PharmaCog,ROSMAP,VASCULAR,VITA,WMH-AD,AMED
Left Sulcus Circular Insula Sup Area From Qdec,,,,,,,,,lh_S_circular_insula_sup_area,,,,lh_S_circular_insula_sup_area,,,lh_S_circular_insula_sup_area,(S_circular_insula_sup)SurfArea,,,lh_S_circular_insula_sup_area,,lh_S_circular_insula_sup_area,,,lh_S_circular_insula_sup_area,lh_S_circular_insula_sup_area,
Left Sulcus Collat Transv Anterior Area From Qdec,,,,,,,,,lh_S_collat_transv_ant_area,,,,lh_S_collat_transv_ant_area,,,lh_S_collat_transv_ant_area,(S_collat_transv_ant)SurfArea,,,lh_S_collat_transv_ant_area,,lh_S_collat_transv_ant_area,,,lh_S_collat_transv_ant_area,lh_S_collat_transv_ant_area,
Left Sulcus Collat Transv Posterior Area From Qdec,,,,,,,,,lh_S_collat_transv_post_area,,,,lh_S_collat_transv_post_area,,,lh_S_collat_transv_post_area,(S_collat_transv_post)SurfArea,,,lh_S_collat_transv_post_area,,lh_S_collat_transv_post_area,,,lh_S_collat_transv_post_area,lh_S_collat_transv_post_area,
Left Sulcus Frontal Inferior Area From Qdec,,,,,,,,,lh_S_front_inf_area,,,,lh_S_front_inf_area,,,lh_S_front_inf_area,(S_front_inf)SurfArea,,,lh_S_front_inf_area,,lh_S_front_inf_area,,,lh_S_front_inf_area,lh_S_front_inf_area,
Left Sulcus Frontal Middle Area From Qdec,,,,,,,,,lh_S_front_middle_area,,,,lh_S_front_middle_area,,,lh_S_front_middle_area,(S_front_middle)SurfArea,,,lh_S_front_middle_area,,lh_S_front_middle_area,,,lh_S_front_middle_area,lh_S_front_middle_area,
Left Sulcus Frontal Sup Area From Qdec,,,,,,,,,lh_S_front_sup_area,,,,lh_S_front_sup_area,,,lh_S_front_sup_area,(S_front_sup)SurfArea,,,lh_S_front_sup_area,,lh_S_front_sup_area,,,lh_S_front_sup_area,lh_S_front_sup_area,
Left Sulcus Interm Prim-Jensen Area From Qdec,,,,,,,,,lh_S_interm_prim-Jensen_area,,,,lh_S_interm_prim-Jensen_area,,,lh_S_interm_prim-Jensen_area,(S_interm_prim-Jensen)SurfArea,,,lh_S_interm_prim-Jensen_area,,lh_S_interm_prim-Jensen_area,,,lh_S_interm_prim-Jensen_area,lh_S_interm_prim-Jensen_area,
Left Sulcus Intrapariet And P Trans Area From Qdec,,,,,,,,,lh_S_intrapariet_and_P_trans_area,,,,lh_S_intrapariet_and_P_trans_area,,,lh_S_intrapariet_and_P_trans_area,(S_intrapariet_and_P_trans)SurfArea,,,lh_S_intrapariet_and_P_trans_area,,lh_S_intrapariet_and_P_trans_area,,,lh_S_intrapariet_and_P_trans_area,lh_S_intrapariet_and_P_trans_area,
Left Sulcus Oc Middle And Lunatus Area From Qdec,,,,,,,,,lh_S_oc_middle_and_Lunatus_area,,,,lh_S_oc_middle_and_Lunatus_area,,,lh_S_oc_middle_and_Lunatus_area,(S_oc_middle_and_Lunatus)SurfArea,,,lh_S_oc_middle_and_Lunatus_area,,lh_S_oc_middle_and_Lunatus_area,,,lh_S_oc_middle_and_Lunatus_area,lh_S_oc_middle_and_Lunatus_area,
Left Sulcus Oc Sup And Transversal Area From Qdec,,,,,,,,,lh_S_oc_sup_and_transversal_area,,,,lh_S_oc_sup_and_transversal_area,,,lh_S_oc_sup_and_transversal_area,(S_oc_sup_and_transversal)SurfArea,,,lh_S_oc_sup_and_transversal_area,,lh_S_oc_sup_and_transversal_area,,,lh_S_oc_sup_and_transversal_area,lh_S_oc_sup_and_transversal_area,
Left Sulcus Occipital Anterior Area From Qdec,,,,,,,,,lh_S_occipital_ant_area,,,,lh_S_occipital_ant_area,,,lh_S_occipital_ant_area,(S_occipital_ant)SurfArea,,,lh_S_occipital_ant_area,,lh_S_occipital_ant_area,,,lh_S_occipital_ant_area,lh_S_occipital_ant_area,
Left Sulcus Oc-temp Lat Area From Qdec,,,,,,,,,lh_S_oc-temp_lat_area,,,,lh_S_oc-temp_lat_area,,,lh_S_oc-temp_lat_area,(S_oc-temp_lat)SurfArea,,,lh_S_oc-temp_lat_area,,lh_S_oc-temp_lat_area,,,lh_S_oc-temp_lat_area,lh_S_oc-temp_lat_area,
